"",".rownames","Estimate","SE","truncate","quantile"
"1","elpd_waic",74.7466347737174,24.4384220758929,FALSE,NA
"2","p_waic",6.81210680397934,0.383323690597471,FALSE,NA
"3","waic",-149.493269547435,48.8768441517859,FALSE,NA
"4","elpd_loo",74.7384143428459,24.4387980881147,FALSE,NA
"5","p_loo",6.82032723485077,0.383760381486636,FALSE,NA
"6","looic",-149.476828685692,48.8775961762294,FALSE,NA
"7","elpd_waic",119.579703640264,22.9930943987327,TRUE,0
"8","p_waic",6.7547857270722,0.362166906525423,TRUE,0
"9","waic",-239.159407280527,45.9861887974655,TRUE,0
"10","elpd_loo",119.571892576001,22.9933977344957,TRUE,0
"11","p_loo",6.7625967913352,0.362477904525212,TRUE,0
"12","looic",-239.143785152001,45.9867954689914,TRUE,0
"13","elpd_waic",302.980557179527,21.380951325285,TRUE,0.1
"14","p_waic",6.62971090819153,0.410655178403573,TRUE,0.1
"15","waic",-605.961114359054,42.7619026505701,TRUE,0.1
"16","elpd_loo",302.973279956876,21.381286075064,TRUE,0.1
"17","p_loo",6.63698813084369,0.410961840641846,TRUE,0.1
"18","looic",-605.946559913751,42.7625721501281,TRUE,0.1
"19","elpd_waic",318.071735869641,20.5267358382406,TRUE,0.15
"20","p_waic",6.58710202086906,0.409866377859048,TRUE,0.15
"21","waic",-636.143471739283,41.0534716764811,TRUE,0.15
"22","elpd_loo",318.06242881485,20.5272595627274,TRUE,0.15
"23","p_loo",6.59640907566098,0.410577084256894,TRUE,0.15
"24","looic",-636.124857629699,41.0545191254547,TRUE,0.15
"25","elpd_waic",313.76149288248,20.2476923808663,TRUE,0.2
"26","p_waic",6.36016903847056,0.408541637835041,TRUE,0.2
"27","waic",-627.522985764959,40.4953847617326,TRUE,0.2
"28","elpd_loo",313.753534853321,20.2480737391704,TRUE,0.2
"29","p_loo",6.36812706762884,0.408960749524817,TRUE,0.2
"30","looic",-627.507069706643,40.4961474783407,TRUE,0.2
"31","elpd_waic",287.29477753003,19.0384030930711,TRUE,0.25
"32","p_waic",6.04087189238759,0.428884969527195,TRUE,0.25
"33","waic",-574.589555060061,38.0768061861422,TRUE,0.25
"34","elpd_loo",287.288163094597,19.0384804072659,TRUE,0.25
"35","p_loo",6.04748632782153,0.429080533457889,TRUE,0.25
"36","looic",-574.576326189194,38.0769608145318,TRUE,0.25
"37","elpd_waic",281.340357472719,18.1931280784053,TRUE,0.3
"38","p_waic",5.77926256826732,0.435707252657963,TRUE,0.3
"39","waic",-562.680714945438,36.3862561568105,TRUE,0.3
"40","elpd_loo",281.330033200051,18.1938681326513,TRUE,0.3
"41","p_loo",5.78958684093602,0.436736564685269,TRUE,0.3
"42","looic",-562.660066400101,36.3877362653025,TRUE,0.3
"43","elpd_waic",260.698703348145,17.2848380521693,TRUE,0.35
"44","p_waic",5.55438702183989,0.453167068384675,TRUE,0.35
"45","waic",-521.39740669629,34.5696761043385,TRUE,0.35
"46","elpd_loo",260.692775554674,17.2848753143706,TRUE,0.35
"47","p_loo",5.56031481531151,0.453320465958567,TRUE,0.35
"48","looic",-521.385551109347,34.5697506287412,TRUE,0.35
"49","elpd_waic",239.632571946274,15.9938228668514,TRUE,0.4
"50","p_waic",5.231701770192,0.44157099445166,TRUE,0.4
"51","waic",-479.265143892548,31.9876457337027,TRUE,0.4
"52","elpd_loo",239.622795253817,15.9944096768729,TRUE,0.4
"53","p_loo",5.24147846264882,0.442384805253255,TRUE,0.4
"54","looic",-479.245590507634,31.9888193537458,TRUE,0.4
"55","elpd_waic",211.057044279826,14.536187611643,TRUE,0.45
"56","p_waic",4.80556861903194,0.421358207487836,TRUE,0.45
"57","waic",-422.114088559652,29.072375223286,TRUE,0.45
"58","elpd_loo",211.046722771516,14.5366433442757,TRUE,0.45
"59","p_loo",4.8158901273418,0.422240295642201,TRUE,0.45
"60","looic",-422.093445543032,29.0732866885515,TRUE,0.45
"61","elpd_waic",273.802172158354,21.9976962434636,TRUE,0.05
"62","p_waic",6.78544087946701,0.442849385784526,TRUE,0.05
"63","waic",-547.604344316708,43.9953924869273,TRUE,0.05
"64","elpd_loo",273.79523295047,21.9979012361753,TRUE,0.05
"65","p_loo",6.79238008735105,0.442948383720529,TRUE,0.05
"66","looic",-547.59046590094,43.9958024723507,TRUE,0.05
"67","elpd_waic",192.635989500183,13.414921813957,TRUE,0.5
"68","p_waic",4.80715327189977,0.422977167790531,TRUE,0.5
"69","waic",-385.271979000366,26.8298436279141,TRUE,0.5
"70","elpd_loo",192.623830571132,13.4155036682408,TRUE,0.5
"71","p_loo",4.8193122009507,0.423934685704287,TRUE,0.5
"72","looic",-385.247661142263,26.8310073364816,TRUE,0.5
